#####################################################################
# Alchemist log file - simulation started at: 2025-02-11T17:08+0000 #
#####################################################################
#
# seed = 2.0, nodes = 20.0, isBaseline = false, deploymentStrategy = heuristic, pueApplication = 1.2, pueInfrastructural = 1.3, availableHwApplication = 8, availableHwInfrastructural = 20
#
# The columns have the following meaning: 
# time Carbon[min] Carbon[max] Carbon[mean] Carbon[variance] Energy[min] Energy[max] Energy[mean] Energy[variance] InterLatency[min] InterLatency[max] InterLatency[mean] InterLatency[variance] IntraLatency[min] IntraLatency[max] IntraLatency[mean] IntraLatency[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0032884513038209384 NaN NaN NaN NaN NaN NaN NaN NaN 24.686857281131896 24.686857281131896 24.686857281131896 0.0 0.0 0.0 0.0 0.0
#####################################################################
# End of data export. Simulation finished at: 2025-02-11T17:08+0000 #
#####################################################################
