#####################################################################
# Alchemist log file - simulation started at: 2025-02-04T23:28+0000 #
#####################################################################
#
# seed = 0.0, nodes = 5.0, isBaseline = true, deploymentStrategy = optimal, pueApplication = 1.2, pueInfrastructural = 1.3, availableHwApplication = 8, availableHwInfrastructural = 20
#
# The columns have the following meaning: 
# time Carbon[min] Carbon[max] Carbon[mean] Carbon[variance] Energy[min] Energy[max] Energy[mean] Energy[variance] Latency[min] Latency[max] Latency[mean] Latency[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
8.604736131685709E-4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.0008604736131692 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
2.00086047361317 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
3.0008604736131486 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
4.000860473613128 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
5.000860473613106 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
6.000860473613085 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
7.000860473613064 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
8.000860473613043 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
9.000860473613022 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
10.000860473613 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
11.00086047361298 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
12.000860473612958 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
13.000860473612937 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
14.000860473612915 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
15.000860473612894 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
16.000860473612875 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
17.00086047361303 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
18.000860473613187 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
19.000860473613344 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
20.0008604736135 0.12 0.25 0.172 0.004469999999999999 0.06583063110778178 0.1913701853552017 0.11581581740355583 0.0027575082079182673 NaN NaN NaN NaN
